steps,time,reward,delta,converged
362,0.0,-0.12903225806451618,1.0,False
363,0.010000000000218279,-0.11022727272727256,1.0,False
364,0.010000000000218279,-0.109782608695652,1.0,False
365,0.0,-0.12432432432432436,1.0,False
366,0.019999999999527063,-0.10290322580645216,1.0,False
367,0.0,-0.12307692307692314,1.0,False
368,0.0,-0.13333333333333336,1.0,False
369,0.0,-0.11914893617021276,1.0,False
370,0.0,-0.11956521739130435,1.0,False
371,0.009999999999308784,-0.11022727272727256,1.0,False
372,0.0,-0.13333333333333336,1.0,False
373,0.010000000000218279,-0.12903225806451618,1.0,False
374,0.0,-0.11666666666666661,1.0,False
375,0.010000000000218279,-0.12045454545454547,1.0,False
376,0.0,-0.11874999999999998,1.0,False
377,0.010000000000218279,-0.14736842105263162,1.0,False
378,0.0,-0.16428571428571428,1.0,False
379,0.0,-0.13461538461538464,1.0,False
380,0.0,-0.11034482758620673,1.0,False
381,0.0,-0.15625,1.0,False
382,0.010000000000218279,-0.10573248407643286,1.0,False
383,0.0,-0.11799999999999997,1.0,False
384,0.0,-0.12812500000000004,1.0,False
385,0.0,-0.19,1.0,False
386,0.010000000000218279,-0.11836734693877549,1.0,False
387,0.009999999999308784,-0.10523255813953472,1.0,False
388,0.010000000000218279,-0.11323529411764695,1.0,False
389,0.0,-0.13913043478260873,1.0,False
390,0.010000000000218279,-0.12307692307692314,1.0,False
391,0.010000000000218279,-0.10535714285714266,1.0,False
392,0.009999999999308784,-0.13750000000000004,1.0,False
393,0.0,-0.10999999999999982,1.0,False
394,0.0,-0.13333333333333336,1.0,False
395,0.0,-0.13000000000000003,1.0,False
396,0.010000000000218279,-0.11730769230769227,1.0,False
397,0.0,-0.13600000000000004,1.0,False
398,0.010000000000218279,-0.10873786407766971,1.0,False
399,0.009999999999308784,-0.16428571428571428,1.0,False
400,0.0,-0.12812500000000004,1.0,False
401,0.010000000000218279,-0.11428571428571419,1.0,False
402,0.0,-0.11384615384615374,1.0,False
403,0.0,-0.12093023255813956,1.0,False
404,0.0,-0.11636363636363631,1.0,False
405,0.0,-0.12903225806451618,1.0,False
406,0.009999999999308784,-0.11764705882352938,1.0,False
407,0.0,-0.11578947368421046,1.0,False
408,0.010000000000218279,-0.11285714285714274,1.0,False
409,0.0,-0.13000000000000003,1.0,False
410,0.010000000000218279,-0.11451612903225797,1.0,False
411,0.010000000000218279,-0.12195121951219516,1.0,False
412,0.009999999999308784,-0.11199999999999986,1.0,False
413,0.0,-0.13214285714285717,1.0,False
414,0.0,-0.12903225806451618,1.0,False
415,0.0,-0.2125,1.0,False
416,0.019999999999527063,-0.11084337349397574,1.0,False
417,0.010000000000218279,-0.11384615384615374,1.0,False
418,0.010000000000218279,-0.16428571428571428,1.0,False
419,0.010000000000218279,-0.12647058823529417,1.0,False
420,0.009999999999308784,-0.11914893617021276,1.0,False
421,0.010000000000218279,-0.12500000000000006,1.0,False
422,0.0,-0.16000000000000003,1.0,False
423,0.010000000000218279,-0.11636363636363631,1.0,False
424,0.019999999999527063,-0.10633802816901385,1.0,False
425,0.0,-0.19,1.0,False
426,0.010000000000218279,-0.12432432432432436,1.0,False
427,0.0,-0.13000000000000003,1.0,False
428,0.010000000000218279,-0.12812500000000004,1.0,False
429,0.0,-0.14090909090909093,1.0,False
430,0.009999999999308784,-0.11730769230769227,1.0,False
431,0.0,-0.12093023255813956,1.0,False
432,0.0,-0.14090909090909093,1.0,False
433,0.0,-0.14500000000000002,1.0,False
434,0.0,-0.12432432432432436,1.0,False
435,0.010000000000218279,-0.12812500000000004,1.0,False
436,0.0,-0.13750000000000004,1.0,False
437,0.0,-0.12903225806451618,1.0,False
438,0.0,-0.13214285714285717,1.0,False
439,0.009999999999308784,-0.11153846153846139,1.0,False
440,0.0,-0.2285714285714286,1.0,False
441,0.0,-0.13000000000000003,1.0,False
442,0.0,-0.13214285714285717,1.0,False
443,0.010000000000218279,-0.109782608695652,1.0,False
444,0.0,-0.11011235955056163,1.0,False
445,0.0,-0.13333333333333336,1.0,False
446,0.0,-0.12647058823529417,1.0,False
447,0.0,-0.12647058823529417,1.0,False
448,0.010000000000218279,-0.11343283582089542,1.0,False
449,0.0,-0.19999999999999998,1.0,False
450,0.010000000000218279,-0.10989010989010971,1.0,False
451,0.0,-0.11799999999999997,1.0,False
452,0.010000000000218279,-0.11914893617021276,1.0,False
453,0.0,-0.11428571428571419,1.0,False
454,0.0,-0.15294117647058827,1.0,False
455,0.0,-0.14500000000000002,1.0,False
456,0.009999999999308784,-0.12000000000000001,1.0,False
457,0.010000000000218279,-0.10947368421052613,1.0,False
