episode,length,time,reward,delta
589,16.0,0.0,84.0,0.0
590,28.0,0.0,-27.0,0.0
591,19.0,0.0,-18.0,0.0
592,12.0,0.0,88.0,0.0
593,12.0,0.0,88.0,0.0
594,18.0,0.0,-17.0,0.0
595,12.0,0.0,88.0,0.0
596,12.0,0.0,88.0,0.0
597,13.0,0.0,87.0,0.0
598,17.0,0.0,-16.0,0.0
599,14.0,0.0,86.0,0.0
600,14.0,0.0,86.0,0.0
601,12.0,0.0,88.0,0.0
602,12.0,0.0,88.0,0.0
603,13.0,0.00999999999839929,87.0,0.0
604,12.0,0.0,88.0,0.0
605,38.0,0.0,-136.0,0.0
606,12.0,0.0,88.0,0.0
607,12.0,0.0,88.0,0.0
608,26.0,0.010000000000218279,-124.0,0.0
609,12.0,0.0,88.0,0.0
610,12.0,0.0,88.0,0.0
611,14.0,0.0,86.0,0.0
612,16.0,0.0,84.0,0.0
613,13.0,0.0,87.0,0.0
614,13.0,0.0,87.0,0.0
615,12.0,0.0,88.0,0.0
616,12.0,0.0,88.0,0.0
617,12.0,0.0,88.0,0.0
618,12.0,0.0,88.0,0.0
619,12.0,0.0,88.0,0.0
620,30.0,0.0,-128.0,0.0
621,12.0,0.0,88.0,0.0
622,14.0,0.0,86.0,0.0
623,12.0,0.0,88.0,0.0
624,12.0,0.0,88.0,0.0
625,24.0,0.0,-23.0,0.0
626,14.0,0.0,86.0,0.0
627,13.0,0.0,87.0,0.0
628,21.0,0.010000000000218279,-20.0,0.0
629,14.0,0.0,86.0,0.0
630,16.0,0.0,84.0,0.0
631,18.0,0.0,82.0,0.0
632,12.0,0.0,88.0,0.0
633,15.0,0.0,-14.0,0.0
634,12.0,0.0,88.0,0.0
635,12.0,0.010000000000218279,88.0,0.0
636,12.0,0.0,88.0,0.0
637,12.0,0.0,88.0,0.0
638,12.0,0.0,88.0,0.0
639,12.0,0.0,88.0,0.0
640,14.0,0.0,86.0,0.0
641,12.0,0.0,88.0,0.0
642,14.0,0.0,86.0,0.0
643,28.0,0.010000000000218279,-27.0,0.0
644,14.0,0.0,86.0,0.0
645,14.0,0.0,86.0,0.0
646,12.0,0.0,88.0,0.0
647,12.0,0.0,88.0,0.0
648,14.0,0.0,86.0,0.0
649,12.0,0.010000000000218279,88.0,0.0
650,12.0,0.0,88.0,0.0
651,28.0,0.0,-27.0,0.0
652,16.0,0.0,84.0,0.0
653,12.0,0.0,88.0,0.0
654,23.0,0.0,-22.0,0.0
655,12.0,0.0,88.0,0.0
656,12.0,0.0,88.0,0.0
657,12.0,0.0,88.0,0.0
658,36.0,0.0,-134.0,0.0
659,12.0,0.0,88.0,0.0
660,12.0,0.0,88.0,0.0
661,38.0,0.010000000000218279,-136.0,0.0
662,12.0,0.0,88.0,0.0
663,12.0,0.0,88.0,0.0
664,12.0,0.0,88.0,0.0
665,12.0,0.0,88.0,0.0
666,12.0,0.0,88.0,0.0
667,12.0,0.0,88.0,0.0
668,12.0,0.0,88.0,0.0
669,12.0,0.010000000000218279,88.0,0.0
670,12.0,0.0,88.0,0.0
671,12.0,0.0,88.0,0.0
672,12.0,0.0,88.0,0.0
673,16.0,0.0,84.0,0.0
674,12.0,0.0,88.0,0.0
675,16.0,0.0,84.0,0.0
676,18.0,0.010000000000218279,-17.0,0.0
677,14.0,0.0,86.0,0.0
678,12.0,0.0,88.0,0.0
679,27.0,0.0,-26.0,0.0
680,16.0,0.0,84.0,0.0
681,12.0,0.0,88.0,0.0
682,13.0,0.010000000000218279,-12.0,0.0
683,14.0,0.0,86.0,0.0
684,12.0,0.0,88.0,0.0
685,19.0,0.0,-18.0,0.0
686,12.0,0.0,88.0,0.0
687,12.0,0.0,88.0,0.0
688,22.0,0.0,-21.0,0.0
689,12.0,0.010000000000218279,88.0,0.0
690,12.0,0.0,88.0,0.0
691,12.0,0.0,88.0,0.0
692,14.0,0.0,86.0,0.0
693,16.0,0.0,-15.0,0.0
694,12.0,0.0,88.0,0.0
695,12.0,0.0,88.0,0.0
696,14.0,0.0,86.0,0.0
697,12.0,0.010000000000218279,88.0,0.0
698,16.0,0.0,84.0,0.0
699,16.0,0.0,84.0,0.0
700,12.0,0.0,88.0,0.0
701,21.0,0.0,-20.0,0.0
702,16.0,0.0,84.0,0.0
703,12.0,0.0,88.0,0.0
704,15.0,0.0,85.0,0.0
705,14.0,0.0,86.0,0.0
706,24.0,0.0,-23.0,0.0
707,12.0,0.0,88.0,0.0
708,13.0,0.0,87.0,0.0
709,18.0,0.0,-17.0,0.0
710,14.0,0.010000000000218279,86.0,0.0
